ā,a1
qiòng,qiong4
qiong,qiong5
qī,qi1
qí,qi2
qǐ,qi3
qì,qi4
qi,qi5
qiū,qiu1
qiú,qiu2
qiǔ,qiu3
qiù,qiu4
qiu,qiu5
quān,quan1
quán,quan2
quǎn,quan3
quàn,quan4
quan,quan5
quē,que1
qué,que2
què,que4
qūn,qun1
qún,qun2
qǔn,qun3
qū,qu1
qú,qu2
qǔ,qu3
qù,qu4
qu,qu5
ráng,rang2
rǎng,rang3
ràng,rang4
rán,ran2
rǎn,ran3
ràn,ran4
ran,ran5
ráo,rao2
rǎo,rao3
rào,rao4
rēng,reng1
réng,reng2
rèng,reng4
rén,ren2
rěn,ren3
rèn,ren4
ren,ren5
rě,re3
rè,re4
rì,ri4
rōng,rong1
róng,rong2
rǒng,rong2
ròng,rong4
rong,rong5
róu,rou2
rǒu,rou2
ròu,rou4
ruán,ruan2
ruǎn,ruan3
ruàn,ruan4
ruá,rua2
ruí,rui2
ruǐ,rui3
ruì,rui4
rún,run2
rǔn,run3
rùn,run4
ruó,ruo2
ruò,ruo4
ruo,ruo5
rú,ru2
rǔ,ru3
rù,ru4
ru,ru5
sāi,sai1
sǎi,sai3
sài,sai4
sai,sai5
sāng,sang1
sǎng,sang3
sàng,sang4
sang,sang5
sān,san1
sǎn,san3
sàn,san4
san,san5
sāo,sao1
sǎo,sao3
sào,sao4
sao,sao5
sā,sa1
sǎ,sa3
sà,sa4
sa,sa5
sēng,seng1
sèng,seng4
sēn,sen1
sěn,sen3
sē,se1
sè,se4
se,se5
shāi,shai1
shǎi,shai3
shài,shai4
shāng,shang1
shǎng,shang3
shàng,shang4
shang,shang5
shān,shan1
shán,shan2
shǎn,shan3
shàn,shan4
shan,shan5
shāo,shao1
sháo,shao2
shǎo,shao3
shào,shao4
shao,shao5
shā,sha1
shǎ,sha3
shà,sha4
sha,sha5
shēng,sheng1
shéng,sheng2
shěng,sheng3
shèng,sheng4
sheng,sheng5
shēn,shen1
shén,shen2
shěn,shen3
shèn,shen4
shen,shen5
shē,she1
shé,she2
shě,she3
shè,she4
she,she5
shī,shi1
shí,shi2
shǐ,shi3
shì,shi4
shi,shi5
shōu,shou1
shǒu,shou2
shòu,shou4
shou,shou5
shuāi,shuai1
shuǎi,shuai3
shuài,shuai4
shuāng,shuang1
shuǎng,shuang3
shuàng,shuang4
shuang,shuang5
shuān,shuan1
shuàn,shuan4
shuā,shua1
shuǎ,shua3
shuà,shua4
shui,shi5
shuí,shui2
shuǐ,shui3
shuì,shui4
shǔn,shun3
shùn,shun4
shuō,shuo1
shuò,shuo4
shū,shu1
shú,shu2
shǔ,shu3
shù,shu4
shu,shu5
sī,si1
sǐ,si3
sì,si4
si,si5
sōng,song1
sóng,song2
sǒng,song2
sòng,song4
song,song5
sōu,sou1
sǒu,sou2
sòu,sou4
suān,suan1
suǎn,suan3
suàn,suan4
suī,sui1
suí,sui2
suǐ,sui3
suì,sui4
sūn,sun1
sǔn,sun3
suō,suo1
suó,suo2
suǒ,suo2
suò,suo4
suo,suo5
sū,su1
sú,su2
sǔ,su3
sù,su4
su,su5
tāi,tai1
tái,tai2
tǎi,tai3
tài,tai4
tai,tai5
tāng,tang1
táng,tang2
tǎng,tang3
tàng,tang4
tān,tan1
tán,tan2
tǎn,tan3
tàn,tan4
tāo,tao1
táo,tao2
tǎo,tao3
tào,tao4
tā,ta1
tá,ta2
tǎ,ta3
tà,ta4
ta,ta5
tēng,teng1
téng,teng2
tèng,teng4
teng,teng5
tè,te4
tiān,tian1
tián,tian2
tiǎn,tian3
tiàn,tian4
tian,tian5
tiāo,tjiao1
tiáo,tiao2
tiǎo,tiao3
tiào,tiao4
tiao,tiao5
tiē,tie1
tié,tie2
tiě,tie3
tiè,tie4
tīng,ting1
tíng,ting2
tǐng,ting3
tìng,ting4
tī,ti1
tí,ti2
tǐ,ti3
tì,ti4
ti,ti5
tōng,tong1
tóng,tong2
tǒng,tong2
tòng,tong4
tōu,tou1
tóu,tou2
tǒu,tou2
tòu,tou4
tuān,tuan1
tuán,tuan2
tuǎn,tuan3
tuàn,tuan4
tuī,tui1
tuí,tui2
tuǐ,tui3
tuì,tui4
tūn,tun1
tún,tun2
tǔn,tun3
tùn,tun4
tuō,tuo1
tuó,tuo2
tuǒ,tuo2
tuò,tuo4
tū,tu1
tú,tu2
tǔ,tu3
tù,tu4
tu,tu5
wāi,wai1
wǎi,wai3
wài,wai4
wāng,wang1
wáng,wang2
wǎng,wang3
wàng,wang4
wang,wang5
wān,wan1
wán,wan2
wǎn,wan3
wàn,wan4
wan,wan5
wā,wa1
wá,wa2
wǎ,wa3
wà,wa4
wa,wa5
wēi,wei1
wéi,wei2
wěi,wei3
wèi,wei4
wei,wei5
wēng,weng1
wěng,weng3
wèng,weng4
wēn,wen1
wén,wen2
wěn,wen3
wèn,wen4
wen,wen5
wòng,wong4
wō,wo1
wǒ,wo2
wò,wo4
wū,wu1
wú,wu2
wǔ,wu3
wù,wu4
wu,wu5
xiāng,xiang1
xiáng,xiang2
xiǎng,xiang3
xiang,xiang5
xiàng,xiang5
xiān,xian1
xián,xian2
xiǎn,xian3
xiàn,xian4
xian,xian5
xiāo,xjiao1
xiáo,xiao2
xiǎo,xiao3
xiào,xiao4
xiao,xiao5
xiā,xia1
xiá,xia2
xiǎ,xia3
xià,xia4
xia,xia5
xie,xe5
xiē,xie1
xié,xie2
xiě,xie3
xiè,xie4
xīng,xing1
xíng,xing2
xǐng,xing3
xìng,xing4
xing,xing5
xīn,xin1
xín,xin2
xǐn,xin3
xìn,xin4
xin,xin5
xiōng,xiong1
xióng,xiong2
xiǒng,xiong2
xiòng,xiong4
xiū,xiu1
xiú,xiu2
xiǔ,xiu3
xiù,xiu4
xiu,xiu5
xī,xi1
xí,xi2
xǐ,xi3
xì,xi4
xi,xi5
xuān,xuan1
xuán,xuan2
xuǎn,xuan3
xuàn,xuan4
xuan,xuan5
xuē,xue1
xué,xue2
xuě,xue3
xuè,xue4
xue,xue5
xūn,xun1
xún,xun2
xùn,xun4
xun,xun5
xū,xu1
xú,xu2
xǔ,xu3
xù,xu4
xu,xu5
yāng,yang1
yáng,yang2
yǎng,yang3
yàng,yang4
yang,yang5
yān,yan1
yán,yan2
yǎn,yan3
yàn,yan4
yan,yan5
yāo,yao1
yáo,yao2
yǎo,yao3
yào,yao4
yā,ya1
yá,ya2
yǎ,ya3
yà,ya4
ya,ya5
yē,ye1
yé,ye2
yě,ye3
yè,ye4
ye,ye5
yīng,ying1
yíng,ying2
yǐng,ying3
yìng,ying4
ying,ying5
yīn,yin1
yín,yin2
yǐn,yin3
yìn,yin4
yin,yin5
yī,yi1
yí,yi2
yǐ,yi3
yì,yi4
yi,yi5
yōng,yong1
yóng,yong2
yǒng,yong2
yòng,yong4
yong,yong5
yōu,you1
yóu,you2
yǒu,you2
yòu,you4
you,you5
yō,yo1
yuān,yuan1
yuán,yuan2
yuǎn,yuan3
yuàn,yuan4
yuan,yuan5
yuē,yue1
yuě,yue3
yuè,yue4
yūn,yun1
yún,yun2
yǔn,yun3
yùn,yun4
yun,yun5
yū,yu1
yú,yu2
yǔ,yu3
yù,yu4
yu,yu5
zāi,zai1
zǎi,zai3
zài,zai4
zāng,zang1
zǎng,zang3
zàng,zang4
zān,zan1
zán,zan2
zǎn,zan3
zàn,zan4
zāo,zao1
záo,zao2
zǎo,zao3
zào,zao4
zao,zao5
zā,za1
zá,za2
zǎ,za3
zéi,zei2
zēng,zeng1
